Symbol,Name,Price in USD
BTC,Bitcoin,29083.6862198844564044
ETH,Ethereum,1896.9012412291935077
USDT,Tether,1.0007083468341267
BNB,BNB,331.6596649305345003
USDC,USD Coin,1.0000875997983382
XRP,XRP,0.4590409958366490
ADA,Cardano,0.4121202965832782
STETH,Lido Staked ETH,1809.9194206902301933
DOGE,Dogecoin,0.0799484818622669
MATIC,Polygon,1.0094693455189993
SOL,Solana,22.1472642943352317
DOT,Polkadot,5.9330856916448274
LTC,Litecoin,89.0120921175398019
BUSD,Binance USD,1.0005478998453085
SHIB,Shiba Inu,0.0000102683751466
TRX,TRON,0.0656903391760004
AVAX,Avalanche,17.5909928068717316
DAI,Multi Collateral DAI,0.9998625952593484
WBTC,Wrapped Bitcoin,29100.1225126726154696
LINK,Chainlink,7.1143755134579558
LEO,UNUS SED LEO,3.5033242026052953
UNI,Uniswap,5.4891978666414914
OKB,OKB,47.8392857512582416
XMR,Monero,156.4956919517926575
ATOM,Cosmos,11.4050179465096751
ETC,Ethereum Classic,19.7160404597264598
XLM,Stellar,0.0939183767599642
ICP,Internet Computer,5.6064102495186971
BCH,Bitcoin Cash,116.9140189516930644
FIL,Filecoin,5.3461536707416035
TUSD,TrueUSD,0.9993359371556886
CRO,Crypto.com Coin,0.0750515756084503
LDO,Lido DAO,2.1160032353375927
NEAR,NEAR Protocol,1.9202772012391226
VET,VeChain,0.0223578831172579
BTCB,Bitcoin BEP2,29064.7114663175443977
QNT,Quant,112.2038763151028782
ALGO,Algorand,0.1826037025184526
GRT,The Graph,0.1400852734396548
FTM,Fantom,0.4271118803785317
EOS,EOS,1.0238024336157315
EGLD,MultiversX,44.2842885660941194
SAND,The Sandbox,0.5827815324475715
MANA,Decentraland,0.5536762725573573
AAVE,Aave,70.5777994347189595
STX,Stacks,0.7363632944692193
THETA,THETA,1.0020293350609190
USDP,Pax Dollar,0.9995125795617654
XTZ,Tezos,1.0273769609255104
FLOW,Flow,0.8973389733181659
AXS,Axie Infinity,7.9093857938258264
RPL,Rocket Pool,47.4087870407586742
HBAR,Hedera Hashgraph,0.0607996877490799
CFX,Conflux,0.3229677110068879
CHZ,Chiliz,0.1280020104728895
RNDR,Render Token,2.3484707039967054
ZEC,Zcash,52.2607820272250616
KCS,KuCoin Token,8.2140961596681443
NEO,Neo,10.9602154041590609
CRV,Curve DAO Token,0.9403899143737236
KLAY,Klaytn,0.2265266446643283
MKR,Maker,698.3607585046729052
INJ,Injective,9.1635669059287551
BSV,Bitcoin SV,34.1258077003954025
MINA,Mina,0.6787167670691021
FXS,Frax Share,8.4097713888086829
CSPR,Casper,0.0539733571192687
DASH,Dash,51.0947880004646024
HT,Huobi Token,3.5350564359063265
SNX,Synthetix,2.4462991819917227
XEC,eCash,0.0000294856758009
MIOTA,IOTA,0.1997952492936580
GT,GateToken,5.2944019278297897
CAKE,PancakeSwap,2.6294635305045490
FTT,FTX Token,1.5212373054587944
WOO,WOO Network,0.2933017992933293
TWT,Trust Wallet Token,1.1748523963190644
XDC,XinFin Network,0.0391821663896198
LRC,Loopring,0.3545874327361370
ZIL,Zilliqa,0.0291632571534973
RUNE,THORChain,1.3659636404788909
AGIX,SingularityNET,0.3415513834704481
KAVA,Kava,0.8327910376462273
DYDX,dYdX,2.6346442325950623
CVX,Convex Finance,5.3012545817371734
FEI,Fei Protocol,0.9404161573559884
1INCH,1inch Network,0.4869696225748303
ENJ,Enjin Coin,0.3966973780176344
NEXO,Nexo,0.6991944665153835
BAT,Basic Attention Token,0.2534403672802820
ROSE,Oasis Network,0.0626929877370404
MASK,Mask Network,4.7290440331899506
DFI,DeFiChain,0.4785578570720194
XEM,NEM,0.0367795042364472
HOT,Holo,0.0019075096853255
ANKR,Ankr,0.0315551684828392
CDT,Blox,0.3052216412308141
TFUEL,Theta Fuel,0.0499036757229828
AUDIO,Audius,0.3058694180409616
BAL,Balancer,6.1689792304101604
